0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:37 +0530] "POST /DigiMart/UpdateCartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:38 +0530] "GET /DigiMart/myCart.jsp?msg=increase HTTP/1.1" 200 253358
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:38 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:42 +0530] "POST /DigiMart/UpdateCartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:42 +0530] "GET /DigiMart/myCart.jsp?msg=decrease HTTP/1.1" 200 253358
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:42 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:44 +0530] "POST /DigiMart/UpdateCartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:44 +0530] "GET /DigiMart/myCart.jsp?msg=decrease HTTP/1.1" 200 253356
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:44 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:49 +0530] "POST /DigiMart/RemoveFromCartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:49 +0530] "GET /DigiMart/myCart.jsp?msg=removed HTTP/1.1" 200 9348
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:49 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:54 +0530] "GET /DigiMart/myOrders.jsp HTTP/1.1" 200 8427
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:54 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:58 +0530] "GET /DigiMart/changeDetails.jsp HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:58 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:41:58 +0530] "GET /DigiMart/css/changeDetails.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:02 +0530] "GET /DigiMart/changePassword.jsp HTTP/1.1" 200 5375
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:02 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:04 +0530] "GET /DigiMart/addChangeAddress.jsp HTTP/1.1" 200 6585
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:04 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:06 +0530] "GET /DigiMart/changeSecurityQuestion.jsp HTTP/1.1" 200 5434
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:06 +0530] "GET /css/home-style.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [19/Oct/2024:13:42:08 +0530] "GET /DigiMart/changeMobileNumber.jsp HTTP/1.1" 200 5133
